Date,Symbol,Entry,Exit,Score,Result,PnL_Pct,Balance,Profit_Cash
15,ACAP,0.654,0.6213,0.67,STOP LOSS ❌,-0.05,159883,-500.0
15,ALEX,10.5,11.55,0.96,TARGET HIT 🎯,0.1,104500,1000.0
15,SCFM,34.009998,37.410997800000004,0.95,TARGET HIT 🎯,0.1,396838,1000.0
15,WCDF,244.27,268.69700000000006,0.93,TARGET HIT 🎯,0.1,126445,1000.0
15,PHTV,113.892194,108.1975843,0.61,STOP LOSS ❌,-0.05,95000,-500.0
15,MOIN,8.642299,9.506528900000001,0.63,TARGET HIT 🎯,0.1,121000,1000.0
15,AJWA,64.889999,71.37899890000001,0.63,TARGET HIT 🎯,0.1,110000,1000.0
15,SCTS,72.699997,79.9699967,0.95,TARGET HIT 🎯,0.1,342724,1000.0
15,MEPA,1.249,1.18655,0.63,STOP LOSS ❌,-0.05,93627,-500.0
15,EDBM,0.63,0.6930000000000001,0.63,TARGET HIT 🎯,0.1,110000,1000.0
15,OFH,0.391,0.37145,0.61,STOP LOSS ❌,-0.05,80860,-500.0
15,SVCE,2.43,2.3085,0.64,STOP LOSS ❌,-0.05,131177,-500.0
15,DSCW,0.933334,1.0266674,0.64,TARGET HIT 🎯,0.1,193458,1000.0
15,WATP,6.5,6.175,0.94,STOP LOSS ❌,-0.05,99275,-500.0
15,EGREF,14.0,15.400000000000002,0.91,TARGET HIT 🎯,0.1,151889,1000.0
16,KABO,2.920389,2.77436955,0.64,STOP LOSS ❌,-0.05,69327,-500.0
16,SUCE,28.25,26.8375,0.91,STOP LOSS ❌,-0.05,95000,-500.0
16,GTEX,0.04,0.038,0.68,STOP LOSS ❌,-0.05,95000,-500.0
16,SVCE,2.43,2.3085,0.64,STOP LOSS ❌,-0.05,124618,-500.0
16,MOIN,8.696145,9.5657595,0.63,TARGET HIT 🎯,0.1,133100,1000.0
16,OFH,0.396,0.3762,0.61,STOP LOSS ❌,-0.05,76817,-500.0
16,ACAP,0.663,0.62985,0.69,STOP LOSS ❌,-0.05,151889,-500.0
16,DSCW,1.002,0.9519,0.67,STOP LOSS ❌,-0.05,183785,-500.0
16,WCDF,246.0,270.6,0.86,TARGET HIT 🎯,0.1,139089,1000.0
16,SCTS,74.589996,82.04899560000001,0.96,TARGET HIT 🎯,0.1,376996,1000.0
16,SCFM,34.009998,37.410997800000004,0.96,TARGET HIT 🎯,0.1,436522,1000.0
16,KRDI,1.675,1.8425000000000002,0.67,TARGET HIT 🎯,0.1,259374,1000.0
17,MOIN,8.696145,9.5657595,0.66,TARGET HIT 🎯,0.1,146410,1000.0
17,DSCW,1.007334,0.9569672999999999,0.62,STOP LOSS ❌,-0.05,174596,-500.0
17,WCDF,247.0,271.70000000000005,0.86,TARGET HIT 🎯,0.1,152998,1000.0
17,KRDI,1.751,1.6634499999999999,0.68,STOP LOSS ❌,-0.05,246405,-500.0
